"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"
"BRAILEY, Mr W. Theodore Ronald"|24|"2nd Class"|250654||"Musician"|""|"Southampton"|"Musician"|""|""
"BRICOUX, Mr Roger Marie"|20|"2nd Class"|250654||"Musician"|""|"Southampton"|"Musician"|""|""
"CLARKE, Mr John Frederick Preston"|30|"2nd Class"|250654||"Musician"|""|"Southampton"|"Musician"|""|"202"
"HARTLEY, Mr Wallace Henry"|33|"2nd Class"|250654||"Musician"|""|"Southampton"|"Musician"|""|"224"
"HUME, Mr John Law"|21|"2nd Class"|250654||"Musician"|""|"Southampton"|"Musician"|""|"193"
"KRINS, Mr Georges Alexandre"|23|"2nd Class"|250654||"Musician"|""|"Southampton"|"Musician"|""|""
"TAYLOR, Mr Percy Cornelius"|32|"2nd Class"|250654||"Musician"|""|"Southampton"|"Musician"|""|""
"WOODWARD, Mr John Wesley"|32|"2nd Class"|250654||"Musician"|""|"Southampton"|"Musician"||
