"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"
"ANDREWS, Mr Thomas"|39|"1st Class"|112050||"H&W Guarantee Group"|""|"Belfast"|"Shipbuilder"|""|""
"CAMPBELL, Mr William Henry"|21|"2nd Class"|239853||"H&W Guarantee Group"|""|"Belfast"|""|""|""
"CHISHOLM, Mr Roderick Robert Crispin"|40|"1st Class"|112051||"H&W Guarantee Group"|""|"Belfast"|"Draughtsman"|""|""
"CUNNINGHAM, Mr Alfred Fleming"|21|"2nd Class"|239853||"H&W Guarantee Group"|""|"Belfast"|"Fitter"|""|""
"FROST, Mr Anthony Wood"|37|"2nd Class"|239854||"H&W Guarantee Group"|""|"Belfast"|"Fitter"|""|""
"KNIGHT, Mr Robert J."|39|"2nd Class"|239855||"H&W Guarantee Group"|""|"Belfast"|"Fitter"|""|""
"PARKES, Mr Francis ""Frank"""|18|"2nd Class"|239853||"H&W Guarantee Group"|""|"Belfast"|"Plumber"|""|""
"PARR, Mr William Henry Marsh"|29|"1st Class"|112052||"H&W Guarantee Group"|""|"Belfast"|"Electrician"|""|""
"WATSON, Mr Ennis Hastings"|15|"2nd Class"|239856||"H&W Guarantee Group"|""|"Belfast"|"Apprentice Electrician"||
